City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Saint Anthony,US,45.0205,-93.218,51.76,59,0,8.05,clear sky
281,Bani,DO,18.2833,-70.3333,78.85,86,100,8.88,moderate rain
282,Igarka,RU,67.4667,86.5833,26.04,97,100,3.13,light snow
283,Korla,CN,41.7597,86.1469,47.48,43,0,1.79,clear sky
284,Outjo,NA,-20.1167,16.15,74.48,27,12,10.25,few clouds
285,Najran,SA,17.4924,44.1277,65.05,25,4,0.4,clear sky
286,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,82,75,12.5,broken clouds
287,Millinocket,US,45.6573,-68.7098,62.71,100,100,0.0,mist
288,Inirida,CO,3.8653,-67.9239,80.83,75,100,1.12,overcast clouds
289,Suffolk,US,40.8668,-72.7996,70.41,96,100,5.75,mist
290,Butgenbach,BE,50.4269,6.205,51.44,93,75,1.14,broken clouds
291,Mucurapo,TT,10.6667,-61.5333,84.96,87,100,6.96,overcast clouds
292,Sur,OM,22.5667,59.5289,79.92,48,0,7.49,clear sky
293,Tukrah,LY,32.5341,20.5791,70.5,81,0,6.55,clear sky
294,Bushehr,IR,28.9684,50.8385,75.29,78,8,0.0,clear sky
295,Itarema,BR,-2.9248,-39.9167,78.71,78,88,15.1,overcast clouds
296,Thunder Bay,CA,48.4001,-89.3168,46.38,57,75,13.8,broken clouds
297,Berbera,SO,10.4396,45.0143,82.94,63,19,5.91,few clouds
298,Opuwo,NA,-18.0607,13.84,71.6,40,13,3.87,few clouds
299,Desdunes,HT,19.2955,-72.646,81.75,68,97,3.94,light rain
300,Amarante Do Maranhao,BR,-5.5667,-46.7422,77.52,80,100,1.5,light rain
301,Urbano Santos,BR,-3.2078,-43.4036,78.21,78,84,7.11,broken clouds
302,Turiacu,BR,-1.6633,-45.3717,78.87,75,85,5.93,overcast clouds
303,Bereda,ES,43.2686,-7.5406,59.41,89,43,9.6,scattered clouds
304,Mombasa,KE,-4.0547,39.6636,75.72,89,58,7.61,light rain
305,Porto Tolle,IT,44.9497,12.3245,65.34,80,34,2.51,scattered clouds
306,Kombissiri,BF,12.0656,-1.3375,85.98,29,20,5.61,few clouds
307,Fuerte Olimpo,PY,-21.0415,-57.8738,86.85,33,0,4.47,clear sky
308,San Rafael Del Sur,NI,11.8485,-86.4384,88.77,82,88,1.57,overcast clouds
309,Villa Maria,AR,-32.4075,-63.2402,89.82,34,86,16.75,overcast clouds
310,Asfi,MA,32.2994,-9.2372,74.3,44,100,6.8,overcast clouds
311,Bondo,CD,3.8146,23.6866,68.88,99,100,1.41,light rain
312,Abnub,EG,27.2696,31.1511,68.22,36,12,7.47,few clouds
313,Sandi,IN,27.3,79.95,68.83,46,0,2.17,clear sky
314,Nyimba,ZM,-14.5566,30.8149,77.43,43,22,3.06,few clouds
315,Cocobeach,GA,1.0002,9.5823,77.13,87,100,0.83,overcast clouds
316,Atar,MR,20.5169,-13.0499,89.37,12,99,5.46,overcast clouds
317,Saint-Georges,GD,12.0564,-61.7485,83.88,84,40,13.8,light intensity shower rain
318,Lastoursville,GA,-0.8143,12.7287,72.09,98,99,0.98,overcast clouds
319,Odesskoye,RU,54.2111,72.9651,30.0,78,100,6.2,overcast clouds
320,Awjilah,LY,29.1081,21.2869,68.63,80,0,10.85,clear sky
321,Luderitz,NA,-26.6481,15.1594,63.97,61,100,15.01,overcast clouds
